5,Chomutov,Václav Homolka,KSČM,2,KSČM,red,Komunistická strana Čech a Moravy,1
39,Trutnov,Adolf Klepš,BEZPP,0,ANO,#0bb,ANO 2011,8.5
72,Ostrava-město,Peter Koliba,BEZPP,0,ANO,#0bb,ANO 2011,8.5
36,Česká Lípa,Jiří Vosecký,SLK,0,SLK,purple,Starostové pro Liberecký kraj,9
33,Děčín,Jaroslav Sykáček,BEZPP,0,TOPSTAN,purple,TOP09-STAN,9
1,Karlovy Vary,Jan Horník,BEZPP,1,TOPSTAN,purple,TOP09-STAN,9
14,České Budějovice,Jiří Šesták,HOPB,2,TOPSTAN,purple,TOP09-STAN,9
41,Benešov,Luděk Jeništa,BEZPP,2,TOPSTAN,purple,TOP09-STAN,9
65,Šumperk,Zdeněk Brož,BEZPP,2,TOPSTAN,purple,TOP09-STAN,9
71,Ostrava-město,Leopold Sulovský,BEZPP,2,TOPSTAN,purple,TOP09-STAN,9
81,Uherské Hradiště,Ivo Valenta,ScČR,0,SsČR,#FFF380,Strana soukromníků ČR,10
9,Plzeň-město,Lumír Aschenbrenner,ODS,0,ODS,blue,Občanská demokratická strana,11
18,Příbram,Jiří Burian,ODS,0,ODS,blue,Občanská demokratická strana,11
10,Český Krumlov,Tomáš Jirsa,ODS,1,ODS,blue,Občanská demokratická strana,11
13,Tábor,Pavel Eybert,ODS,1,ODS,blue,Občanská demokratická strana,11
16,Beroun,Jiří Oberfalzer,ODS,1,ODS,blue,Občanská demokratická strana,11
19,Praha 11,Milan Pešák,ODS,1,ODS,blue,Občanská demokratická strana,11
25,Praha 6,Petr Bratský,ODS,1,ODS,blue,Občanská demokratická strana,11
28,Mělník,Veronika Vrecionová,ODS,1,ODS,blue,Občanská demokratická strana,11
34,Liberec,Přemysl Sobotka,ODS,1,ODS,blue,Občanská demokratická strana,11
52,Jihlava,Miloš Vystrčil,ODS,1,ODS,blue,Občanská demokratická strana,11
17,Praha 12,Tomáš Grulich,ODS,2,ODS,blue,Občanská demokratická strana,11
23,Praha 8,Daniela Filipiová,ODS,2,ODS,blue,Občanská demokratická strana,11
32,Teplice,Jaroslav Kubera,ODS,2,ODS,blue,Občanská demokratická strana,11
35,Jablonec nad Nisou,Jaroslav Zeman,ODS,2,ODS,blue,Občanská demokratická strana,11
